"key","en","fr","ge","sp","ch","jp"
,,,,,,
"character_name_101","乌利尔","xxxx",,,,
"character_name_102","阿洛伊斯","xxxx",,,,
"character_name_103","哈塞尔","xxxx",,,,
"character_name_104","艾姆","xxxx",,,,
"character_name_105","碧安卡","xxxx",,,,
"character_name_106","波玛琳","xxxx",,,,
"character_name_107","埃普丽尔","xxxx",,,,
"character_name_108","纳西姆","xxxx",,,,
"character_name_109","安娜-梅","xxxx",,,,
"character_name_110","玫露","xxxx",,,,
"character_name_111","普里斯卡","xxxx",,,,
"character_name_112","鲍伊","xxxx",,,,
"character_name_113","安吉","xxxx",,,,
"character_name_114","芙蓉","xxxx",,,,
"character_name_115","米洛","xxxx",,,,
"character_name_116","瓦伦蒂娜","xxxx",,,,
"character_name_117","碧","xxxx",,,,
"character_name_118","艾琳","xxxx",,,,
"character_name_119","纳杰特","xxxx",,,,
"character_name_120","萨希姆","xxxx",,,,
"character_name_121","伊恩","xxxx",,,,
"character_name_122","提里奥","xxxx",,,,
"character_name_123","卢修斯","xxxx",,,,
"character_name_124","娜比哈","xxxx",,,,
"character_name_125","B@dkArma42","xxxx",,,,
"character_name_126","达米安","xxxx",,,,
"character_name_127","雨果","xxxx",,,,
"character_name_128","科亚","xxxx",,,,
"character_name_129","卡米尔","xxxx",,,,
"character_name_130","卡斯托大厨","xxxx",,,,
"character_name_131","奥托","xxxx",,,,
,,,,,,
"character_name_201","T.E.C.","xxxx",,,,
"character_name_202","埃尔顿","xxxx",,,,
"character_name_203","罗伯特","xxxx",,,,
"character_name_204","伊冯娜","xxxx",,,,
"character_name_205","科拉","xxxx",,,,
"character_name_206","莱昂","xxxx",,,,
"character_name_207","玛丽·安妮","xxxx",,,,
"character_name_208","卡斯伯","xxxx",,,,
"character_name_209","加文","xxxx",,,,
"character_name_210","梅","xxxx",,,,
"character_name_211","法尔汗","xxxx",,,,
"character_name_212","邓肯","xxxx",,,,
"character_name_213","迪米特里","xxxx",,,,
"character_name_214","艾丽莎","xxxx",,,,
"character_name_215","本杰明","xxxx",,,,
"character_name_216","艾玛","xxxx",,,,
"character_name_217","萨希尔","xxxx",,,,
"character_name_218","杜里","xxxx",,,,
"character_name_219","亨利","xxxx",,,,
"character_name_220","阿谢尔","xxxx",,,,
"character_name_221","伊丽莎","xxxx",,,,
"character_name_222","爱丽丝","xxxx",,,,
"character_name_223","亨丽埃塔","xxxx",,,,
,,,,,,
"character_name_301","邦妮","xxxx",,,,
"character_name_302","丽莎","xxxx",,,,
"character_name_303","索菲亚","xxxx",,,,
"character_name_304","阿兰","xxxx",,,,
"character_name_305","西蒙","xxxx",,,,
"character_name_306","路易","xxxx",,,,
"character_name_307","阿米娜塔","xxxx",,,,
"character_name_308","阿德莱德","xxxx",,,,
,,,,,,
,,,,,,
"PRONOUNS",,,,,,
,,,,,,
"gender_1","男性","xxxx",,,,
"gender_2","女性","xxxx",,,,
,,,,,,
"pronoun_he","他","xxxx",,,,
"pronoun_his","他的","xxxx",,,,
"pronoun_she","她","xxxx",,,,
"pronoun_her","他的","xxxx",,,,
,,,,,,
"pronoun_him","他","xxxx",,,,
"pronoun_himself","他自己","xxxx",,,,
"pronoun_herself","她自己","xxxx",,,,
,,,,,,
"title_sir","先生","xxxx",,,,
"title_miss","小姐","xxxx",,,,
,,,,,,
,,,,,,
"SHOPS",,,,,,
"shop_name_101","屠宰铺","xxxx",,,,
"shop_name_102","渔具店","xxxx",,,,
"shop_name_103","泡泡屋","xxxx",,,,
"shop_name_105","数码元件","xxxx",,,,
"shop_name_106","猎所","xxxx",,,,
"shop_name_107","埃普丽尔珍宝店","xxxx",,,,
"shop_name_110","绿意茎植","xxxx",,,,
"shop_name_112","水产大王","xxxx",,,,
"shop_name_115","米洛服装店","xxxx",,,,
"shop_name_116","白荆医务室","xxxx",,,,
"shop_name_117","碧儿酒吧","xxxx",,,,
"shop_name_119","浴场精品店","xxxx",,,,
"shop_name_120","肉类筒仓","xxxx",,,,
"shop_name_122","奶麦之家","xxxx",,,,
"shop_name_124","娜比哈莓果铺","xxxx",,,,
"shop_name_127","火山矿物","xxxx",,,,
,,,,,,
"shop_name_150","蔬菜园圃","xxxx",,,,
"shop_name_151","贝壳卖场","xxxx",,,,
,,,,,,
"shop_name_199","欧马逊公司","xxxx",,,,
,,,,,,
"shop_name_201","章鱼烧","xxxx",,,,
"shop_name_202","8-11","xxxx",,,,
"shop_name_213","列车票务处","xxxx",,,,
"shop_name_214","列车票务处","xxxx",,,,
"shop_name_215","包裹公司","xxxx",,,,
"shop_name_216","九号酒廊","xxxx",,,,
"shop_name_219","家装艺廊","xxxx",,,,
"shop_name_223","汪喵之家","xxxx",,,,
,,,,,,
"shop_name_301","苏打小站","xxxx",,,,
"shop_name_302","水中绿洲","xxxx",,,,
"shop_name_303","饮料自助","xxxx",,,,
"shop_name_304","营养快讯","xxxx",,,,
"shop_name_305","牛奶天堂","xxxx",,,,
"shop_name_306","洛克可洛","xxxx",,,,
"shop_name_307","沃拉可乐","xxxx",,,,
"shop_name_308","嚼嚼小屋","xxxx",,,,
"shop_name_309","苏帕能量","xxxx",,,,
"shop_name_310","零食大全","xxxx",,,,
"shop_name_311","绿洲之源","xxxx",,,,
"shop_name_312","洋面微风","xxxx",,,,
"shop_name_313","咖啡斯汀","xxxx",,,,
"shop_name_314","粉红蜜瓜","xxxx",,,,
,,,,,,
"VendingShop_Intro","你好，想买点什么？","xxxx",,,,
"VendingShop_shop_buy_1","很好的选择。","xxxx",,,,
"VendingShop_shop_buy_2","感谢你的购买。","xxxx",,,,
"VendingShop_shop_buy_3","谢谢。欢迎下次光临。","xxxx",,,,
"VendingShop_shop_sell_rejected_1","抱歉。这个我们没法收。","xxxx",,,,
"VendingShop_shop_sell_rejected_2","我们这里不收东西。","xxxx",,,,
"VendingShop_shop_sell_rejected_3","抱歉客人。我们没法买你的东西。","xxxx",,,,
"VendingShop_shop_too_poor_1","请投入更多积分。","xxxx",,,,
"VendingShop_shop_too_poor_2","抱歉，你没有足够的积分买下这个物品。","xxxx",,,,
"VendingShop_shop_too_poor_3","积分不足...积分不足...","xxxx",,,,
"VendingShop_cannot_buy_1","你没有足够的积分买下这件机器。","xxxx",,,,
"VendingShop_cannot_buy_2","你想赖我的帐？带够积分再来！！！","xxxx",,,,
"VendingShop_cannot_buy_3","大甜心，你就接着做梦吧。没准哪天能成呢！","xxxx",,,,
"VendingShop_buy_machine_1","恭喜你购买新产品，(playername)。","xxxx",,,,
"VendingShop_buy_machine_2","感谢你买下(machine)。有我的风格！","xxxx",,,,
"VendingShop_buy_machine_3","(playername)，你现在就是我的新主人了。","xxxx",,,,
"VendingShop_owned_intro_1","你好，(playername)。你赚到了(credits)积分。","xxxx",,,,
"VendingShop_owned_intro_2","欢迎。(credits)积分可供收集。","xxxx",,,,
"VendingShop_owned_intro_3","日安。已挣到(credits)积分。","xxxx",,,,
"VendingShop_owned_noCredits_1","尚未售出任何物品，(playername)...","xxxx",,,,
"VendingShop_owned_noCredits_2","目前没有可供收集的积分。","xxxx",,,,
"VendingShop_owned_noCredits_3","请稍候再来。商品需要时间售出。","xxxx",,,,
