"key","en","fr","ge","sp","ch","jp"
,,,,,,
,,,,,,
"LOCATIONS","地点",,,,,
,,,,,,
"Date_Location_Title","约会地点?","xxxx",,,,
"Date_Location_TownSquare","镇中心","xxxx",,,,
"Date_Location_EastBeach","东部海滩","xxxx",,,,
"Date_Location_DeepWoods","幽深森林","xxxx",,,,
"Date_Location_LonelyCliffs","孤寂悬崖","xxxx",,,,
"Date_Location_Bathhouse","汤池","xxxx",,,,
"Date_Location_SouthBeach","南部海滩","xxxx",,,,
,,,,,,
"DATE OPTIONS","约会选项",,,,,
,,,,,,
"Relationship_Prompt","与(npc)发展关系?","xxxx",,,,
"Date_Choose_Relationship","选择爱情","xxxx",,,,
"Date_Choose_Friendship","选择友情","xxxx",,,,
,,,,,,
"DATE OPTIONS","日期选项",,,,,
,,,,,,
"Date_ChooseLocation","去约会","xxxx",,,,
"Date_ChangeLocation","更换地点","xxxx",,,,
,,,,,,
"101_URIEL","101_乌里尔",,,,,
,,,,,,
"101_URIEL_ROMANTIC","101_URIEL_浪漫",,,,,
,,,,,,
"Uriel_romantic_decline","对不起，我现在对你并没有那样的感觉。","xxxx",,,,
"Uriel_romantic_accept","哇，(playername)，我…我也喜欢你。比喜欢一块红屋牛排还要多，而这对我来说已经是极限了。","xxxx",,,,
,,,,,,
"Uriel_romantic_like_location","啊，我一直都想去那里！那是个和你一起消磨时间的好地方。","xxxx",,,,
"Uriel_romantic_neutral_location","我在这里这么久，还从来没去过那里呢。好吧。","xxxx",,,,
"Uriel_romantic_dislike_location","啊，嗯，不太是...我会选择和人约会的地方，但好吧。","xxxx",,,,
"Uriel_romantic_same_location","噢…我们已经去过那里了，对吧？也许我们这次可以去一个新地方？","xxxx",,,,
,,,,,,
"Uriel_romantic_secondDate_endIntro","我真的很享受我们之前外出的时光。_我是认真的，只要你愿意，我会一直在这里。","xxxx",,,,
"Uriel_romantic_secondDate_relationshipOption","你还想和我一起去吗？真的吗？(Romance)","xxxx",,,,
"Uriel_romantic_secondDate_friendsOption","我们做朋友吧？嗯，是的...朋友... (Friend)","xxxx",,,,
"Uriel_romantic_secondDate_relationshipAccept","当然，我愿意继续和你在一起，(playername)。我们一起度过了很美好的时光，为什么不继续保持下去呢？","xxxx",,,,
"Uriel_romantic_secondDate_relationshipDecline","我认为我们其实…嗯…就像筋膜一样，不应该继续在一起。你明白吗？对不起。_我会在这里支持你，(playername)，但作为朋友。","xxxx",,,,
"Uriel_romantic_secondDate_friendsResponse","就像和牛里的筋膜一样，我没有想到会有这种情况，但我宁愿你作为朋友在我的生活中，也不愿你完全不在。_我需要一些时间来消化这一切。再见，(playername)。","xxxx",,,,
,,,,,,
"Uriel_date_EastBeach_Intro","东部海滩是我有机会时非常喜欢去的地方。这里的岩石这里的岩石形状各异，非常吸引人，而且在日落时分，这里的景色美极了。","xxxx",,,,
"Uriel_date_EastBeach_1","这些天我真的很喜欢看大海。_它有种让人平静的感觉。我想，这可能是因为我意识到自己对它无能为力，从而感到一种释然。","xxxx",,,,
"Uriel_date_EastBeach_1A_Option","嗯，从来没有这么想过。(Friend)","xxxx",,,,
