"key","en","fr","ge","sp","ch","jp"
,,,,,,
"UNIVERSAL KEYS","通用键值",,,,,
,,,,,,
,,,,,,
"Key_Tooltip_RegularShop_0","购买/出售物品","xxxx",,,,
"Key_Tooltip_RegularShop_1","购买/出售多个物品","xxxx",,,,
,,,,,,
"Key_Tooltip_FurnitureShop_0","购买/出售物品","xxxx",,,,
,,,,,,
"Key_Tooltip_BuildMode_0","拾取","xxxx",,,,
"Key_Tooltip_BuildMode_1","移动到库存","xxxx",,,,
,,,,,,
"Key_Tooltip_FurnitureCrafting_0","制作物品","xxxx",,,,
"Key_Tooltip_FurnitureCrafting_1","退出菜单","xxxx",,,,
,,,,,,
"Key_Tooltip_BuildModePickup_0","放置","xxxx",,,,
"Key_Tooltip_BuildModePickup_1","旋转家具","xxxx",,,,
,,,,,,
"Key_Tooltip_StaffManagement_0","取消分配","xxxx",,,,
,,,,,,
"Key_Tooltip_StaffUnassigned_0","分配到餐厅","xxxx",,,,
"Key_Tooltip_StaffUnassigned_1","解雇员工","xxxx",,,,
,,,,,,
"Key_Tooltip_ExternalStorage_0","转移物品","xxxx",,,,
"Key_Tooltip_ExternalStorage_1","全部转移","xxxx",,,,
,,,,,,
"Key_Tooltip_SeedPlanting_0","种植种子","xxxx",,,,
"Key_Tooltip_SeedPlanting_1","结束播种","xxxx",,,,
"Key_Tooltip_SeedPlanting_2","循环堆肥","xxxx",,,,
,,,,,,
"Key_Tooltip_WaterPlants_0","灌溉植物","xxxx",,,,
"Key_Tooltip_WaterPlants_1","卸下喷壶","xxxx",,,,
,,,,,,
"Key_Tooltip_Digging_0","挖掘植物","xxxx",,,,
"Key_Tooltip_Digging_1","卸下铲子","xxxx",,,,
,,,,,,
,,,,,,
"GENERIC TEXT","通用文本",,,,,
,,,,,,
"generic_AbilityPoints","能力点","xxxx",,,,
"generic_Android","机器人","xxxx",,,,
"generic_Availability","可用性","xxxx",,,,
"generic_Bill","账单","xxxx",,,,
"generic_Birthday","生日","xxxx",,,,
"generic_building","建筑","xxxx",,,,
"generic_cancel","取消","xxxx",,,,
"generic_Cancel","取消","xxxx",,,,
"generic_Celebrity","名人","xxxx",,,,
"generic_Chef","厨师","xxxx",,,,
"generic_Choose_Reward","选择奖励","xxxx",,,,
"generic_Clear","清除","xxxx",,,,
"generic_Completed","已完成","xxxx",,,,
"generic_CompletedDishes","已完成菜肴","xxxx",,,,
"generic_Compost","堆肥","xxxx",,,,
"generic_confirm","确认","xxxx",,,,
"generic_continue","继续","xxxx",,,,
"generic_Cooking","烹饪","xxxx",,,,
"generic_Credits","积分","xxxx",,,,
"generic_Critic","评论家","xxxx",,,,
"generic_Customers","顾客","xxxx",,,,
"generic_Damage","伤害","xxxx",,,,
"generic_Day","天","xxxx",,,,
"generic_Days","天","xxxx",,,,
"generic_Decor","装饰","xxxx",,,,
"generic_DecorValue","装饰价值","xxxx",,,,
"generic_DiningSpots","用餐位置","xxxx",,,,
"generic_DislikedFood","不喜欢的食物","xxxx",,,,
"generic_DislikedTreats","不喜欢的食物","xxxx",,,,
"generic_Endurance","耐力","xxxx",,,,
"generic_Event","活动","xxxx",,,,
"generic_Exit","退出","xxxx",,,,
"generic_Facility","设施","xxxx",,,,
"generic_Farmed","农场","xxxx",,,,
"generic_FavoriteFood","最喜欢的食物","xxxx",,,,
"generic_FavoriteGift","最喜欢的礼物","xxxx",,,,
"generic_FavoriteTreats","最喜欢的接待","xxxx",,,,
"generic_Gathering","采集","xxxx",,,,
"generic_General","常规","xxxx",,,,
"generic_Happiness","幸福","xxxx",,,,
"generic_Health","健康","xxxx",,,,
"generic_HourlyWage","时薪","xxxx",,,,
"generic_Human","人类","xxxx",,,,
"generic_Hunger","饥饿","xxxx",,,,
"generic_Ingredient","原料","xxxx",,,,
"generic_ItemsTotal","(amount)物品总计","xxxx",,,,
"generic_level","等级","xxxx",,,,
"generic_Load","加载","xxxx",,,,
"generic_Local","本地","xxxx",,,,
"generic_Mailbox","邮箱","xxxx",,,,
"generic_MaitreD","D先生","xxxx",,,,
"generic_no","否","xxxx",,,,
"generic_NoCompostUsed","未使用堆肥","xxxx",,,,
"generic_NoInventory","库存空间不足","xxxx",,,,
"generic_NoMail","没有新邮件","xxxx",,,,
"generic_None","无","xxxx",,,,
"generic_Occupation","职业","xxxx",,,,
"generic_Party","派对","xxxx",,,,
"generic_Patience","耐心","xxxx",,,,
"generic_PossibleDrops","可能掉落","xxxx",,,,
"generic_PowerCells","能源电池","xxxx",,,,
"generic_progress","进度","xxxx",,,,
"generic_Purchase","采购","xxxx",,,,
"generic_Quest","任务","xxxx",,,,
"generic_Quest_Complete","任务完成","xxxx",,,,
"generic_QuestDescription","任务描述","xxxx",,,,
"generic_ReadyToHarvest","准备收获","xxxx",,,,
"generic_Relationship","关系","xxxx",,,,
"generic_RemainingDishes","剩余菜肴","xxxx",,,,
"generic_Reputation","声誉","xxxx",,,,
"generic_Requirements","要求","xxxx",,,,
"generic_ResetCooldown","重置冷却","xxxx",,,,
"generic_ResetSkills","重置技能","xxxx",,,,
"generic_Resistances","抗性","xxxx",,,,
"generic_Rewards","奖励","xxxx",,,,
"generic_Satisfaction","满意度","xxxx",,,,
"generic_Save","保存","xxxx",,,,
"generic_SaveTime","保存时间","xxxx",,,,
"generic_Seconds","秒","xxxx",,,,
"generic_ServedDishes","上菜次数","xxxx",,,,
"generic_SigningFee","签署费","xxxx",,,,
"generic_SkillPoints","技能点数","xxxx",,,,
"generic_Slot","保存档位","xxxx",,,,
"generic_Social","社交","xxxx",,,,
"generic_Stamina","体力","xxxx",,,,
"generic_Style","风格","xxxx",,,,
"generic_Takeout","外卖","xxxx",,,,
"generic_Today","今天","xxxx",,,,
"generic_Tourist","游客","xxxx",,,,
"generic_Verdict","结论","xxxx",,,,
"generic_Waiter","服务员","xxxx",,,,
"generic_Warning","警告","xxxx",,,,
"generic_Week","周","xxxx",,,,
"generic_Year","年","xxxx",,,,
"generic_yes","是","xxxx",,,,
,,,,,,
"season_1","春天","xxxx",,,,
"season_2","夏天","xxxx",,,,
"season_3","秋天","xxxx",,,,
"season_4","冬天","xxxx",,,,
,,,,,,
"day_1","周一","xxxx",,,,
"day_2","周二","xxxx",,,,
"day_3","周三","xxxx",,,,
"day_4","周四","xxxx",,,,
"day_5","周五","xxxx",,,,
"day_6","周六","xxxx",,,,
"day_7","周日","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
"QUESTS","任务",,,,,
,,,,,,
"Quest_Type_0","收集物品：","xxxx",,,,
"Quest_Type_1","将包裹送到火车站邮局。","xxxx",,,,
"Quest_Type_2","准备外卖菜肴：","xxxx",,,,
"Quest_Type_3","狩猎：","xxxx",,,,
"Quest_Type_4","交谈:","xxxx",,,,
"Quest_Type_5","前往：","xxxx",,,,
"Quest_Type_6","购买升级","xxxx",,,,
"Quest_Type_7","餐厅声誉：","xxxx",,,,
"Quest_Type_Event_WhiteAshHarbor","在白荆港的一家餐厅举办活动。","xxxx",,,,
"Quest_Type_Event_BillboardCity","在广告牌城的一家餐厅举办活动。","xxxx",,,,
,,,,,,
,,,,,,
"Quest_Description_ParcelCo","送至包裹公司","xxxx",,,,
"Quest_Description_HostParty","在举办派对剩余(hoursRemaining)小时内","xxxx",,,,
"Quest_Description_EventInProgress","活动进行中","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
"QUEST REWARDS","任务奖励",,,,,
,,,,,,
"Quest_Reward_Intro","奖励：","xxxx",,,,
"Quest_Reward_Daily_None","无","xxxx",,,,
"Quest_Reward_Daily_Credits","积分","xxxx",,,,
"Quest_Reward_Daily_PowerCells","能源电池","xxxx",,,,
"Quest_Reward_Daily_Ingredients","随机材料","xxxx",,,,
"Quest_Reward_Daily_Equipment","随机服装","xxxx",,,,
"Quest_Reward_Daily_GiftItem","随机礼物","xxxx",,,,
"Quest_Reward_Daily_Furniture","随机家具","xxxx",,,,
"Quest_Reward_Daily_Recipe","随机食谱物品","xxxx",,,,
"Quest_Reward_Daily_Tool","随机工具物品","xxxx",,,,
"Quest_Reward_Daily_Unlock","解锁餐厅","xxxx",,,,
"Quest_Reward_Daily_Material","随机材料物品","xxxx",,,,
"Quest_Reward_Daily_Seed","随机种子物品","xxxx",,,,
"Quest_Reward_Daily_UniqueRare","独特稀有物品","xxxx",,,,
"Quest_Reward_Daily_UniqueEpic","独特史诗物品","xxxx",,,,
"Quest_Reward_Daily_UniqueLegendary","独特传奇物品","xxxx",,,,
"Quest_Reward_Daily_VariousItems","各种物品","xxxx",,,,
,,,,,,
"Quest_Reward_Standard_None","无","xxxx",,,,
"Quest_Reward_Standard_Credits","积分","xxxx",,,,
